,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
73.51,3,1,64,0,1,4,2,32,2,1,3,1,32,2,1,3,1,64,1,3,2,1,64,0,3,2,1,16,2,3,4,2,64,0,3,2,1,64,0,3,4,2,16,0,1,3,1,32,1,2,3,1,16,2,2,3,1,16,1,2,2,1,32,2,1,2,1,64,1,2,2,2,64,2,2
63.89,2,1,32,1,1,4,3,32,1,1,3,1,64,0,1,3,1,128,0,3,2,1,32,2,3,2,1,8,1,3,4,2,64,0,3,2,1,128,1,3,4,2,8,2,1,3,1,32,0,2,3,1,16,0,2,3,1,8,0,2,2,1,32,0,1,2,1,32,0,2,2,2,64,0,2
68.13,2,1,16,1,1,4,3,32,1,1,3,1,64,2,1,3,1,128,2,3,2,1,16,1,3,2,1,16,2,3,4,2,64,0,3,2,1,128,2,3,4,2,16,0,1,3,1,16,2,2,3,1,16,0,2,3,1,16,2,2,2,1,16,0,1,2,1,64,0,2,2,2,64,1,2
0.1,2,1,16,0,1,4,3,16,2,1,3,1,32,0,1,3,1,128,2,3,2,1,8,0,3,2,1,32,2,3,4,2,32,0,3,2,1,128,0,3,4,2,16,0,1,3,1,16,2,2,3,1,16,1,2,3,1,8,0,2,2,1,16,2,1,2,1,128,2,2,2,2,64,0,2
62.6,2,1,8,2,1,4,3,16,1,1,3,1,64,2,1,3,1,64,1,3,2,1,16,1,3,2,1,64,0,3,4,2,16,2,3,2,1,128,1,3,4,2,16,2,1,3,1,32,1,2,3,1,16,1,2,3,1,16,1,2,2,1,8,0,1,2,1,128,2,2,2,2,32,0,2
61.9,2,1,8,2,1,4,3,16,0,1,3,1,64,2,1,3,1,32,2,3,2,1,16,0,3,2,1,64,0,3,4,2,8,1,3,2,1,128,0,3,4,2,16,0,1,3,1,32,1,2,3,1,32,2,2,3,1,32,1,2,2,1,16,2,1,2,1,64,0,2,2,2,64,1,2
69.68,2,1,4,2,1,4,3,32,1,1,3,1,128,1,1,3,1,32,2,3,2,1,32,2,3,2,1,64,0,3,4,2,8,1,3,2,1,64,2,3,4,2,16,1,1,3,1,64,1,2,3,1,32,0,2,3,1,32,0,2,2,1,16,2,1,2,1,32,2,2,2,2,32,1,2
56.42,2,1,2,1,1,4,3,16,2,1,3,1,128,1,1,3,1,32,0,3,2,1,64,1,3,2,1,64,2,3,4,2,4,1,3,2,1,32,0,3,4,2,16,0,1,3,1,32,1,2,3,1,32,2,2,3,1,64,1,2,2,1,8,2,1,2,1,16,0,2,2,2,32,0,2
58.19,2,1,2,1,1,4,3,8,0,1,3,1,128,0,1,3,1,32,1,3,2,1,64,0,3,2,1,64,0,3,4,2,4,2,3,2,1,16,2,3,4,2,32,1,1,3,1,16,2,2,3,1,32,2,2,3,1,32,0,2,2,1,4,1,1,2,1,16,1,2,2,2,16,2,2
,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool,kernal,stride,channels,pooling,size_pool
